code,entryYmd,exitYmd,reason,entry,exit,t1Fill,stop,t1,t2,pnlPct,score,grade,condMet,t1Hit
105560,20230825,20230926,ma5_close,52500,55700,54902,51511,54902,60392,4.88,76,B,0,true
105560,20231010,20231011,stop,56900,55367,,55367,59011,64912,-3.11,71,B,0,false
105560,20231019,20231020,stop,57200,56476,,56476,59753,65728,-1.69,72,B,0,false
105560,20240305,20240318,trail,70500,73098,73830,66585,73830,81213,3.76,80,A,0,true
105560,20240423,20240424,stop_be,70500,69900,72114,67645,72114,79325,0.29,85,B,0,true
105560,20240614,20240617,stop,80400,78904,,78904,83673,92040,-2.28,83,B,0,false
105560,20240621,20240621,stop,80000,78864,,78864,83538,91892,-1.84,78,B,0,false
105560,20240729,20240731,stop_be,87900,87900,92310,84764,92310,101541,2.07,73,B,0,true
105560,20240814,20240814,stop,84800,84237,,84237,91596,100756,-1.09,71,B,0,false
105560,20240821,20240822,stop,89600,86754,,86754,96192,105811,-3.59,85,A,0,false
105560,20241121,20241126,stop_be,96100,96100,98600,92510,98600,108460,0.87,70,B,0,true
105560,20250624,20250704,ma5_close,109400,112100,117096,104898,117096,128806,4.3,77,B,0,true
105560,20250807,20250808,stop,115100,113569,,113569,129132,142045,-1.75,75,B,0,false
105560,20250911,20250926,stop,117000,113400,,113484,125832,138415,-3.49,70,B,0,false
105560,20251002,20251014,stop,117000,109896,,109896,121854,134039,-6.48,72,B,0,false
105560,20251016,20251112,t2,112300,133855,121686,109528,121686,133855,13.29,71,B,0,true
105560,20251202,20251204,stop_be,128800,128800,132806,124604,132806,146087,1.12,70,B,0,true
105560,20251223,20251223,stop,126800,125484,,125484,133745,147120,-1.46,77,B,0,false
105560,20260106,20260107,stop,127700,125000,,125096,133331,146664,-2.53,83,A,0,false
105560,20260114,20260119,stop_be,128700,128700,132934,125131,132934,146227,1.21,80,B,0,true
105560,20260122,20260211,t2,136800,161014,146376,132012,146376,161014,11.87,70,B,0,true
105560,20260413,20260504,time,156800,157800,,152760,169380,186318,0.21,80,B,0,false
105560,20260526,20260527,stop,160100,156295,,156295,166584,183242,-2.8,79,B,0,false
105560,20260604,20260608,trail,156600,163401,165240,151797,165240,181764,4.48,74,B,0,true
105560,20260826,20260826,stop,165700,163220,,163220,176154,193769,-1.92,73,B,0,false
105560,20260901,20260909,ma5_close,169100,172000,178806,168354,178806,196687,3.28,76,B,0,true
108490,20250623,20250623,t1+t2,61500,75286,68442,60795,68442,75286,16.35,82,A,0,true
108490,20250710,20250714,stop,72500,70252,,70252,77896,85686,-3.52,80,B,0,false
108490,20250812,20250813,trail,88500,89652,94802,85499,94802,104282,3.76,71,B,0,true
108490,20251201,20251202,stop_be,238500,236500,249844,225328,249844,274828,1.52,71,B,0,true
108490,20260116,20260116,stop,273500,262033,,262033,281520,309672,-4.6,83,A,0,false
108490,20260226,20260226,stop,294500,290664,,290664,309798,340778,-1.73,84,B,0,false
112040,20240111,20240111,stop,65800,63491,,63491,68442,75286,-3.92,73,B,0,false
115440,20260114,20260114,stop,7540,7323,,7323,8629,9293,-3.3,71,B,0,false
115440,20260527,20260527,stop,15900,15305,,15305,19890,20885,-4.16,71,B,0,false
131290,20240305,20240305,stop,58700,57128,,57128,64158,70574,-3.1,77,B,0,false
131290,20240313,20240313,stop,62600,59444,,59444,65912,72503,-5.45,71,B,0,false
131290,20240523,20240523,stop,75300,72516,,72516,87108,92011,-4.11,76,B,0,false
131290,20251107,20251107,stop,53000,52303,,52303,57994,63793,-1.74,82,A,0,false
131290,20251118,20251119,stop,54000,51837,,51837,59976,65773,-4.42,73,B,0,false
131290,20260120,20260120,stop,63500,62629,,62629,69442,76386,-1.8,82,A,0,false
131290,20260402,20260402,stop,120100,114642,,114642,128520,141372,-4.95,79,B,0,false
131290,20260908,20260910,t1+t2,257500,307784,279804,252348,279804,307784,13.6,75,B,0,true
140430,20250609,20250609,stop,2730,2634,,2634,2948,3243,-3.93,80,A,0,false
141080,20231010,20231011,stop,37800,37069,,37069,40902,44992,-2.36,71,B,0,false
141080,20231031,20231107,t2,36800,43000,38964,36039,38964,42860,10.89,73,B,0,true
141080,20240214,20240214,stop,50500,50270,,50270,55080,60588,-0.88,80,A,0,false
141080,20240424,20240426,stop,68000,65884,,65884,70380,77418,-3.53,78,B,0,false
141080,20240704,20240709,t2,71700,86843,78948,69133,78948,86843,15.12,71,B,0,true
141080,20240724,20240726,stop,82400,79420,,79420,88060,96866,-4.03,73,B,0,false
141080,20240730,20240731,stop,86000,83859,,83859,92982,102280,-2.91,75,B,0,false
141080,20240802,20240802,stop,85700,85530,,85530,95778,105356,-0.63,72,B,0,false
141080,20240808,20240808,stop,88900,86464,,86464,95872,105459,-3.16,71,B,0,false
141080,20240920,20240925,ma5_close,96100,100000,103682,93509,103682,114050,5.52,72,B,0,true
141080,20250610,20250613,trail,110300,113459.99999999999,119850,107037,119850,131835,5.31,78,B,0,true
141080,20250630,20250630,stop,116500,112905,,112905,125190,137709,-3.5,71,B,0,false
141080,20250805,20250806,stop,139800,136000,,136350,154632,170095,-3.14,74,B,0,false
141080,20250924,20250924,stop,159100,154690,,154690,171520,188672,-3.19,77,B,0,false
141080,20251002,20251015,stop,148500,143340,,143340,171054,182718,-3.89,72,B,0,false
141080,20260108,20260112,stop,182900,175135,,175135,186664,205330,-4.66,78,B,0,false
145020,20231115,20231124,ma5_close,149700,153500,157076,141662,157076,172784,3.29,71,B,0,true
145020,20231205,20231207,stop,155000,148404,,148404,164526,180979,-4.67,80,A,0,false
145020,20240103,20240108,ma5_close,151200,153700,159372,149529,159372,175309,3.08,70,B,0,true
145020,20240112,20240112,stop,163000,158305,,158305,172390,189629,-3.3,75,B,0,false
145020,20240202,20240206,stop,162000,157409,,157409,167771,184548,-3.25,76,B,0,false
145020,20240215,20240223,t2,162900,187374,170340,156514,170340,187374,9.32,75,B,0,true
145020,20240328,20240329,stop_be,195800,193600,202878,189821,202878,223166,0.81,70,B,0,true
145020,20240423,20240502,trail,208000,210500,223630,201685,223630,245993,3.91,82,B,0,true
145020,20240521,20240524,stop,208000,204055,,204055,222870,245157,-2.32,87,B,0,false
145020,20240528,20240528,stop,217500,212300,,212300,235400,258940,-2.81,82,B,0,false
145020,20240610,20240610,stop,213000,204348,,204348,228480,251328,-4.47,77,B,0,false
145020,20240702,20240702,stop,232000,225825,,225825,258060,283866,-3.08,70,B,0,false
145020,20240819,20240822,stop_be,279000,279000,291040,262480,291040,320144,1.72,73,B,0,true
145020,20240920,20240924,stop,264500,259969,,259969,277082,304790,-2.14,72,B,0,false
145020,20241007,20241010,stop,259000,248452,,248452,278460,306306,-4.48,77,B,0,false
145020,20250430,20250507,stop,366500,357703,,357703,394594,434053,-2.82,70,B,0,false
145020,20250522,20250528,stop,362000,353449,,353449,384540,422994,-2.78,72,B,0,false
145020,20250611,20250624,stop,365500,350778,,350778,388944,427838,-4.44,78,B,0,false
145020,20250701,20250701,stop,386000,374420,,374420,415160,456676,-3.42,73,B,0,false
