code,entryYmd,exitYmd,reason,entry,exit,t1Fill,stop,t1,t2,pnlPct,score,grade,condMet,t1Hit
100130,20260504,20260506,stop,2605,2406.5,,2406.5,3027.75,3400.5,-8.02,70,B,0,false
105560,20230825,20230926,ma5_close,52500,55700,56263,49638,56263,60238,6.17,71,B,0,true
105560,20231010,20231026,stop,56900,53641,,53641,60041,63881,-6.13,71,B,0,false
105560,20240305,20240327,time,70500,69000,,62050,79425,89850,-2.55,75,B,0,false
105560,20240423,20240502,trail,70500,72540,76900,63175,76900,85135,5.53,80,B,0,true
105560,20240614,20240709,trail,80400,83700,87309,74609,87309,94929,5.89,78,B,0,true
105560,20240729,20240805,stop,87900,77400,,79512,95837,105632,-12.32,70,B,0,false
105560,20240814,20240904,time,84800,83600,,78407,96157,106807,-1.84,71,B,0,false
105560,20241107,20241118,stop,94900,87859,,87859,105184,115579,-7.82,72,B,0,false
105560,20250624,20250704,ma5_close,109400,112100,117249,99299,117249,128019,4.37,77,B,0,true
105560,20250716,20250728,stop,117500,112210,,112210,130685,141770,-4.91,72,B,0,false
105560,20250807,20250818,stop,115100,107551,,107551,126876,138471,-6.96,75,B,0,false
105560,20251021,20251112,t2,118500,134533,125488,110413,125488,134533,9.24,76,B,0,true
105560,20251202,20251222,time,128800,126500,,116702,141152,155822,-2.21,70,B,0,false
105560,20260106,20260127,t2,127700,142612,134797,121772,134797,142612,8.15,78,B,0,true
105560,20260413,20260504,time,156800,157800,,144705,178692.5,199085,0.21,75,B,0,false
105560,20260526,20260528,stop,160100,148961,,148961,173186,187721,-7.36,76,B,0,false
105560,20260604,20260608,trail,156600,163401,171774,143024,171774,189024,6.56,74,B,0,true
105560,20260826,20260917,eod_open,165700,179000,,153408,186558,206448,7.56,70,B,0,false
108490,20250623,20250624,trail,61500,76167,77265,53490,77265,91530,24.21,77,B,0,true
108490,20250710,20250716,trail,72500,85100,91235,60510,91235,109670,21.09,77,B,0,true
108490,20250812,20250820,stop,88500,77890,,77890,104665,120730,-12.37,71,B,0,false
108490,20251201,20251208,trail,238500,289500,306865,184590,306865,380230,24.49,71,B,0,true
108490,20260116,20260202,trail,273500,331000,316346.5,232409,316346.5,366709,17.84,78,B,0,true
108490,20260226,20260304,stop,294500,240000,,248096,365471,435896,-18.86,79,B,0,false
112040,20240111,20240116,stop,65800,55688,,55688,77588,90728,-15.73,73,B,0,false
131290,20240305,20240325,time,58700,56000,,51935,70097.5,80995,-5.01,72,B,0,false
131290,20240523,20240527,stop,75300,61769,,61769,91369,109129,-18.32,76,B,0,false
131290,20251107,20251121,stop,53000,48150,,48945,62082.5,69965,-9.54,79,B,0,false
131290,20260120,20260129,trail,63500,77190,75550,57800,75550,86200,19.75,77,B,0,true
131290,20260402,20260417,t2,120100,179040,148920,98720,148920,179040,35.95,74,B,0,true
131290,20260901,20260911,trail,230000,291000,305651,189601,305651,375281,29.15,70,B,0,true
140430,20250609,20250617,stop,2730,2386.5,,2386.5,3245.25,3760.5,-12.96,75,B,0,false
141080,20231010,20231018,stop,37800,34003,,34003,43065.5,48503,-10.43,71,B,0,false
141080,20231031,20231109,trail,36800,42547.5,41272,33097,41272,46177,13.4,70,B,0,true
141080,20240214,20240226,trail,50500,56400,59539.5,45127,59539.5,68187,14.3,75,B,0,true
141080,20240424,20240522,time,68000,68500,,59227,78352,89827,0.3,78,B,0,false
141080,20240704,20240710,trail,71700,81096,81785,62435,81785,93395,13.1,71,B,0,true
141080,20240724,20240805,stop,82400,73790,,73790,95065,107830,-10.83,73,B,0,false
141080,20240920,20241015,t2,96100,126000,111450,87200,111450,126000,23.01,72,B,0,true
141080,20250610,20250704,trail,110300,120620.99999999999,124300,99101,122976,137301,10.55,73,B,0,true
141080,20250807,20250828,time,147900,148400,,133090,174115,198730,-0.09,73,B,0,false
141080,20250904,20250925,time,150200,146700,,135224,170511.5,191684,-2.75,73,B,0,false
141080,20251010,20251016,stop,153000,138192,,138192,173142,194112,-10.07,80,B,0,false
141080,20260108,20260114,stop,182900,163130,,163130,199742.5,221710,-11.19,75,B,0,false
141080,20260303,20260304,stop,189500,164754,,164754,221004,254754,-13.43,72,B,0,false
141080,20260513,20260518,stop,207000,177210,,177210,242935,282370,-14.76,79,B,0,false
145020,20231205,20231226,time,155000,146600,,139452,167427,184212,-5.83,77,B,0,false
145020,20240103,20240119,ma5_close,151200,160200,166423,142023,166423,181063,7.55,70,B,0,true
145020,20240202,20240213,stop,162000,147742,,147742,177842,195902,-9.19,71,B,0,false
145020,20240215,20240304,t2,162900,199800,177338,146563,177338,195803,15.26,82,A,0,true
145020,20240328,20240502,trail,195800,210500,218768,175293,218768,244853,9.15,70,B,0,true
145020,20240521,20240611,t1+t2,208000,261491,243000,189011,234311,261491,20.75,84,B,0,true
145020,20240702,20240722,time,232000,220000,,199430,273930,318630,-5.58,70,B,0,false
145020,20240725,20240805,stop,240000,226050,,226050,277175,307850,-6.22,73,B,0,false
145020,20240920,20240930,stop,264500,240588,,240588,298838,333788,-9.43,72,B,0,false
145020,20241007,20241018,trail,259000,279930,287822,228447,287822,323447,9.13,74,B,0,true
145020,20250522,20250528,stop,362000,327477,,327477,405727,452677,-9.93,72,B,0,false
145020,20250611,20250701,time,365500,364000,,332350,410225,456950,-0.84,75,B,0,false
145020,20250704,20250724,time,377000,338000,,332369,427869,485169,-10.73,77,B,0,false
145020,20260123,20260130,trail,260000,286905,292125,230250,292125,329250,10.87,70,B,0,true
145020,20260220,20260313,time,267000,239500,,227356,323231,380756,-10.68,73,B,0,false
145020,20260831,20260910,stop,257000,229792,,229792,303479.5,347692,-10.97,80,B,0,false
161890,20230828,20230906,stop,58500,52365,,52365,64702.5,72105,-10.87,72,B,0,false
161890,20240430,20240514,trail,49300,53196,55700,46416,55653.5,61196,9.97,73,B,0,true
161890,20240724,20240805,stop,62900,56550,,56550,74200,84790,-10.48,71,B,0,false
161890,20240904,20241025,time,67000,66400,,62400,80900,92000,-1.32,70,B,0,false
161890,20241101,20241108,stop,71200,64910,,64910,79485,88230,-9.23,76,B,0,false
161890,20250224,20250318,ma5_close,57900,65600,65468,56218,65468,71018,12.7,72,B,0,true
161890,20250411,20250423,ma5_close,66500,72700,74085,60885,74085,82005,9.89,71,B,0,true
161890,20250604,20250613,ma5_close,85500,88300,92222,77722,92222,100922,5.11,75,B,0,true
161890,20250807,20250808,stop,100900,92757,,92757,111282,122397,-8.47,72,B,0,false
161890,20260210,20260304,stop,73500,68280,,68280,79330,85960,-7.5,70,B,0,false
161890,20260313,20260427,t2,69800,93300,83200,65335,82435,92695,25.89,72,B,0,true
161890,20260805,20260814,trail,100700,133920,129645,87020,129645,155220,30.3,74,B,0,true
161890,20260915,20260917,eod_open,143500,146800,,129055,172605,198735,1.86,74,B,0,false
163730,20250605,20250610,trail,12350,14630,14290,11257,14264.5,16069,16.58,75,B,0,true
163730,20250721,20250801,stop,14340,12166,,12166,17226,20262,-15.52,84,A,0,false
163730,20250806,20250827,time,13360,12570,,11785,15805,18217,-6.32,76,B,0,false
187660,20260409,20260429,time,13650,12100,,10017,19402,25033,-11.74,83,A,0,false
192650,20230830,20230918,trail,12150,13485,14481,10836,14481,16668,14.59,73,B,0,true
192650,20260128,20260130,trail,7560,7839.9,8300,7014,8279,9038,6.29,70,B,0,true
195870,20230831,20230920,time,68200,61700,,60098,75998,85538,-9.92,75,B,0,false
195870,20250731,20250731,stop,25600,24447,,24447,30172,33607,-4.91,70,B,0,false
195870,20251215,20260107,time,50400,50800,,46507,62157,71547,0.36,82,B,0,false
195870,20260116,20260202,trail,56300,62774.99999999999,66945,48370,66945,78090,14.71,77,B,0,true
195870,20260225,20260304,stop,66000,56310,,56310,79285,93070,-15.05,75,B,0,false
196170,20230823,20230912,t2,46500,59939,52634,40459,52634,59939,20.53,77,B,0,true
