ymd,capital
20230823,1000000
20230825,1000000
20230829,1000000
20230830,1000000
20230831,1000000
20230901,1000000
20230904,1000000
20230905,1000000
20230907,1000000
20230908,1000000
20230911,1000000
20230912,1023704
20230913,1023704
20230914,1029304
20230918,1029304
20230919,1029304
20230920,1046276
20230921,1046276
20230922,1031578
20230926,1043918
20230927,1027862
20231004,1027862
20231010,1027862
20231013,1027862
20231016,1027862
20231018,1027862
20231019,1027862
20231020,1011826
20231026,999224
20231027,999224
20231030,986253
20231031,986253
20231102,986253
20231103,986253
20231107,986253
20231109,1005953
20231113,1005953
20231115,1005953
20231122,1005953
20231123,1005877
20231124,1005877
20231127,1005877
20231128,1021331
20231129,1021331
20231130,1039778
20231201,1039778
20231204,1039778
20231205,1036760
20231207,1037020
20231211,1037020
20231212,1048112
20231213,1048112
20231214,1048112
20231215,1053608
20231218,1039773
20231219,1039773
20231220,1039773
20231221,1057116
20231222,1057116
20231226,1083575
20231227,1083575
20231228,1083575
20240102,1083575
20240103,1083575
20240104,1083575
20240105,1083575
20240108,1083575
20240111,1071655
20240112,1071655
20240115,1071655
20240116,1055202
20240118,1038342
20240119,1038342
20240122,1038342
20240123,1038342
20240124,1022022
20240126,1022022
20240129,1036648
20240130,1020636
20240131,1014913
20240201,1030406
20240202,1030406
20240205,1040197
20240206,1040197
20240207,1040197
20240208,1040197
20240213,1040197
20240214,1040197
20240215,1048727
20240216,1048727
20240220,1048727
20240221,1048727
20240222,1048727
20240223,1048727
20240226,1048727
20240227,1096566
20240229,1096566
20240304,1120503
20240305,1135167
20240306,1135167
20240307,1135167
20240311,1135167
20240312,1135167
20240313,1135167
20240314,1135522
20240315,1135522
20240318,1147880
20240319,1147880
20240320,1147880
20240321,1147880
20240322,1147880
20240325,1147880
20240327,1147880
20240328,1170304
20240329,1170304
20240401,1152464
20240402,1152464
20240403,1152464
20240404,1152464
20240405,1152597
20240408,1152597
20240409,1152597
20240415,1152597
20240419,1172122
20240422,1172122
20240423,1172122
20240424,1172122
20240425,1191647
20240429,1191647
20240430,1191647
20240502,1206984
20240503,1206984
20240507,1206984
20240508,1206984
20240509,1206984
20240513,1202343
20240514,1202343
20240516,1202343
20240517,1202343
20240520,1221460
20240521,1221925
20240522,1221925
20240523,1221925
20240524,1221925
20240527,1221925
20240528,1221925
20240529,1221925
20240530,1221925
20240603,1221925
20240604,1221925
20240605,1275057
20240607,1307642
20240610,1307642
20240611,1376622
20240612,1376622
20240613,1376622
20240614,1376622
20240617,1376622
20240619,1376622
20240620,1376622
20240621,1334931
20240624,1334931
20240625,1334931
20240626,1334931
20240627,1334931
20240628,1334931
20240701,1325569
20240702,1305101
20240703,1305101
20240704,1305101
20240705,1305101
20240709,1319474
20240710,1319474
20240711,1319474
20240712,1319474
20240715,1319474
20240717,1319474
20240718,1298881
20240719,1298881
20240722,1291099
20240724,1291099
20240725,1291099
20240729,1281046
20240730,1281046
20240731,1281046
20240801,1281046
20240802,1281046
20240805,1220991
20240807,1220991
20240808,1220991
20240812,1220991
20240814,1220991
20240816,1220991
20240819,1220991
20240820,1220991
20240821,1251431
20240822,1251431
20240823,1251431
20240827,1251431
20240829,1251431
20240830,1276659
20240902,1276659
20240903,1276659
20240904,1255896
20240905,1256946
20240909,1256946
20240910,1256946
20240913,1256946
20240920,1256946
20240923,1256946
20240925,1270178
20240927,1270178
20240930,1270178
20241002,1248631
20241007,1248631
20241011,1248631
20241014,1248631
20241015,1248631
20241016,1248631
20241017,1248631
20241018,1263127
20241023,1279999
20241024,1279999
20241028,1286592
20241101,1294853
20241104,1294853
20241105,1294853
20241107,1294853
20241108,1274560
20241111,1274560
20241113,1286500
20241118,1286500
20241119,1286500
20241121,1286500
20241125,1286500
20241126,1286500
20241128,1286095
20241204,1300221
20241205,1291369
20241211,1291369
20241216,1291369
20241224,1279641
20250103,1278530
20250107,1278530
20250114,1319941
20250117,1319941
20250120,1299931
20250122,1332577
20250123,1332577
20250131,1308573
20250203,1308573
20250205,1337937
20250207,1337937
20250210,1337937
20250212,1356527
20250213,1356527
20250214,1356527
20250217,1375734
20250218,1403964
20250219,1403964
20250220,1397487
20250221,1397487
20250224,1397487
20250225,1397487
20250227,1397487
20250228,1353674
20250305,1353674
20250306,1353674
20250310,1353674
20250311,1331386
20250313,1331386
20250314,1331386
20250317,1331386
20250318,1359550
20250319,1376436
20250320,1376436
20250321,1353938
20250324,1353938
20250325,1353938
20250326,1332985
20250327,1332985
20250328,1313124
20250331,1297635
20250402,1282080
20250403,1258559
20250404,1258559
20250407,1238482
20250416,1238482
20250418,1238482
20250423,1265604
20250424,1265604
20250430,1265604
20250502,1265604
20250507,1265604
20250509,1265604
20250513,1253470
20250516,1253470
20250519,1255431
20250522,1255431
20250523,1255431
20250526,1255431
20250530,1255431
20250604,1255431
20250605,1255431
20250609,1282448
20250610,1281961
20250611,1281961
20250612,1281961
20250613,1281961
20250616,1281961
20250617,1262147
20250618,1289068
20250619,1289068
20250620,1289068
20250623,1289068
20250624,1289068
20250625,1289068
20250626,1289068
20250627,1289068
20250630,1268706
20250701,1268706
20250702,1268706
20250703,1268706
20250704,1288687
20250708,1288687
20250709,1288687
20250710,1288687
20250711,1288687
20250714,1288687
20250715,1288687
20250716,1288687
20250717,1288687
20250718,1288687
20250721,1289866
20250722,1288392
20250723,1288392
20250724,1288392
20250725,1288392
20250728,1309603
20250729,1289645
20250730,1289645
20250731,1289645
20250801,1269838
20250804,1269838
20250805,1269838
20250806,1269838
20250807,1249739
20250808,1249739
20250811,1249739
20250812,1249739
20250813,1249739
20250814,1249739
20250818,1249739
20250819,1247787
20250820,1218834
20250821,1218834
20250822,1218834
20250825,1218834
20250826,1218834
20250827,1218834
20250828,1218834
20250829,1218834
20250901,1218834
20250902,1218834
20250905,1218834
20250908,1218834
20250909,1218834
20250910,1218834
20250911,1218834
20250912,1218834
20250915,1248949
20250916,1269432
20250917,1269432
20250918,1269432
20250919,1269432
20250922,1269432
20250924,1269432
20250925,1269432
20250926,1252721
20250930,1252721
20251001,1252721
20251002,1252721
20251010,1252721
20251013,1237288
20251014,1231835
20251015,1231835
20251016,1231835
20251017,1231835
20251020,1257942
20251021,1257942
20251022,1257942
20251023,1257942
20251024,1257942
20251027,1257942
20251028,1257942
20251029,1257942
20251030,1273449
20251031,1273449
20251103,1270929
20251104,1270929
20251105,1270929
20251107,1250895
20251110,1250895
20251111,1250895
20251112,1250895
20251113,1250895
20251114,1250895
20251117,1250895
20251118,1250895
20251119,1250895
20251121,1211879
20251124,1211879
20251125,1211879
20251126,1211879
20251127,1211879
20251201,1211879
20251202,1211879
20251203,1211879
20251204,1211879
20251208,1211879
20251209,1211879
20251210,1211879
20251211,1202865
20251215,1236652
20251216,1236652
20251217,1236652
20251218,1236652
20251219,1236652
20251222,1236652
20251223,1236652
20251226,1236652
20251229,1236652
20251230,1236652
20260102,1236652
20260105,1236652
20260106,1236652
20260107,1237443
20260108,1237443
20260109,1237443
20260112,1253032
20260113,1253032
20260114,1233518
20260115,1233518
20260116,1233518
20260119,1233518
20260120,1233518
20260121,1233518
20260122,1233518
20260123,1233518
20260126,1233518
20260127,1276105
20260128,1276105
20260129,1276105
20260130,1276105
20260202,1276105
20260204,1276105
20260205,1290121
20260206,1244394
20260210,1244394
20260211,1244394
20260212,1244394
20260213,1244394
20260219,1244394
20260220,1244394
20260223,1272168
20260224,1272168
20260225,1304398
20260226,1304398
20260227,1304398
20260303,1304398
20260304,1307706
20260310,1307706
20260311,1307706
20260312,1307706
20260313,1307706
20260316,1307706
20260319,1307706
20260320,1334987
20260323,1334987
20260327,1314802
20260330,1314802
20260331,1314802
20260402,1314802
20260406,1314802
20260408,1314802
20260409,1314802
20260413,1314802
20260414,1314802
20260415,1314802
20260417,1314802
20260420,1314802
20260421,1314802
20260422,1314802
20260423,1314802
20260424,1314802
20260427,1314802
20260428,1314802
20260429,1314802
20260430,1314802
20260504,1314802
20260506,1314802
20260507,1314802
20260508,1314802
20260511,1343902
20260512,1340182
20260513,1340182
20260514,1340182
20260515,1340182
20260518,1319468
20260519,1299068
20260522,1299068
20260526,1299068
20260527,1299068
20260528,1279188
20260529,1279188
20260601,1279188
20260602,1279188
20260604,1279188
20260605,1259468
20260608,1259468
20260618,1258749
20260622,1258749
20260623,1258749
20260626,1258749
20260701,1239535
20260707,1239535
20260713,1239535
20260716,1239535
20260724,1239535
20260728,1226623
20260729,1226623
20260803,1226623
20260805,1226623
20260806,1226623
20260810,1226623
20260812,1226623
20260814,1226623
20260821,1226623
20260826,1256701
20260827,1256701
20260831,1256701
20260901,1256701
20260902,1240214
20260904,1240214
20260907,1240214
20260908,1240214
20260910,1240214
20260911,1240214
20260914,1240214
20260915,1240214
20260916,1220923
